# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	62556
#@/user_id	3341f95e-2102-4b54-a91e-f7eb6dfaf9d9
bei ren 	被人	c=1 d=1 t=9783
bei shang 	悲傷	c=1 d=1 t=56892
bei shou gou 	被收購	c=1 d=1 t=7946
bei shu 	背書	c=1 d=1 t=55174
bei ta 	被她	c=1 d=1 t=44125
bei wang 	備忘	c=1 d=1 t=12138
bei xin qiao 	北新橋	c=1 d=1 t=51079
bei xing 	盃型	c=2 d=1.49907 t=954
bei ye 	貝爺	c=1 d=1 t=38950
bei yi 	北醫	c=1 d=1 t=48338
bei ying 	北影	c=4 d=1 t=56172
bei you 	北郵	c=4 d=1.97531 t=46972
bei yuan 	北苑	c=1 d=1 t=58652
bei zhe 	背着	c=1 d=1 t=15272
bei zhu 	備註	c=2 d=1 t=39471
bei zi 	杯子	c=3 d=1.52729 t=4223
bei zi 	被子	c=1 d=1 t=813
ben 	奔	c=3 d=0.1 t=54702
ben 	本	c=1 d=1 t=19718
ben di 	本地	c=5 d=1 t=55828
ben ji 	本機	c=1 d=1 t=55965
ben jie duan 	本階段	c=1 d=1 t=2604
ben la si 	奔拉絲	c=1 d=1 t=54703
ben lai 	本來	c=18 d=1 t=61793
ben lai jiu shi 	本來就是	c=1 d=1 t=25348
ben lai shi 	本來是	c=1 d=1 t=52938
ben lai wo 	本來我	c=1 d=1 t=46773
ben shen 	本身	c=1 d=1 t=25465
ben shi 	本事	c=1 d=1 t=6574
ben tian 	本田	c=1 d=1 t=36989
beng 	崩	c=2 d=1 t=60598
beng 	泵	c=1 d=1 t=62069
beng 	蹦	c=1 d=1 t=2452
beng beng 	崩蹦	c=1 d=1 t=27337
beng cui 	崩摧	c=0 d=0.1 t=52197
beng kui 	崩潰	c=1 d=1 t=36303
beng le 	蹦了	c=1 d=1 t=16008
bi 	幣	c=9 d=1 t=53758
bi 	必	c=0 d=0.1 t=5299
bi 	比	c=28 d=1.11248 t=61797
bi 	璧	c=4 d=1 t=54132
bi 	筆	c=3 d=1 t=49539
bi 	臂	c=0 d=0.1 t=26553
bi 	逼	c=4 d=2.58026 t=21787
bi 	避	c=1 d=1 t=51536
bi bu gan 	必不敢	c=1 d=1 t=5300
bi ci 	彼此	c=1 d=1 t=24788
bi de guo 	比得過	c=1 d=1 t=60674
bi ge 	逼格	c=2 d=1 t=20809
bi gua 	壁掛	c=1 d=0.1 t=58662
bi gua lu 	壁掛爐	c=1 d=1 t=58663
bi ji 	筆記	c=9 d=1 t=56739
bi ji ben 	筆記本	c=16 d=1 t=56171
bi jia 	幣價	c=1 d=1 t=4749
bi jiao 	比較	c=31 d=1 t=61943
bi jiao duo 	比較多	c=1 d=1 t=28222
bi jiao gao 	比較搞	c=1 d=1 t=41651
bi jiao ma fan 	比較麻煩	c=1 d=1 t=12400
bi jiao mang 	比較忙	c=1 d=1 t=16388
bi jiao shao 	比較少	c=1 d=1 t=33862
bi jiao yuan 	比較遠	c=1 d=1 t=23092
bi jing 	畢竟	c=21 d=1.8306 t=61696
bi kai 	避開	c=1 d=1 t=4948
bi li 	比例	c=2 d=1 t=26481
bi mian 	避免	c=3 d=1 t=58896
bi ni 	比你	c=1 d=1 t=51914
bi qi 	比起	c=1 d=1 t=40361
bi qi lai 	比起來	c=1 d=1 t=41275
bi ru 	比如	c=18 d=1.02705 t=47141
bi ru ne 	比如呢	c=1 d=1 t=6282
bi shi 	鄙視	c=2 d=1.00514 t=30391
bi tao 	筆套	c=1 d=1 t=661
bi te 	比特	c=1 d=1 t=53757
bi te bi 	比特比	c=5 d=1 t=53756
bi wo 	比我	c=3 d=1 t=46161
bi xu 	必須	c=8 d=0.1 t=61859
bi xu de 	必須的	c=3 d=2.96546 t=34930
bi xu ke yi 	必須可以	c=1 d=1 t=24828
bi xu yao 	必須要	c=1 d=1 t=1968
bi xu you 	必須有	c=1 d=1 t=61860
bi yao 	必要	c=3 d=1 t=42930
bi yao de 	必要的	c=1 d=1 t=12480
bi ye 	畢業	c=19 d=1 t=59735
bi ye le 	畢業了	c=1 d=1 t=28940
bi ye sheng 	畢業生	c=1 d=1 t=23567
bi zhe 	比這	c=1 d=1 t=32694
bi zhe ge 	比這個	c=4 d=1 t=61537
bi zhi 	壁紙	c=3 d=1 t=57792
bi zhong 	幣種	c=0 d=0.1 t=57550
bi zui 	閉嘴	c=1 d=1 t=6580
bian 	變	c=13 d=1.00185 t=54757
bian 	遍	c=2 d=1 t=41440
bian 	邊	c=8 d=1 t=56195
bian bian 	邊邊	c=1 d=1 t=28256
bian cheng 	編程	c=3 d=1.00333 t=40882
bian cheng 	變成	c=9 d=1 t=62032
bian de 	變得	c=3 d=1.77492 t=38299
bian di 	遍地	c=1 d=1 t=60025
bian hao 	變好	c=1 d=1 t=10854
bian hua 	變化	c=2 d=1 t=59241
bian huan 	變換	c=1 d=1 t=621
bian ji 	編輯	c=8 d=1 t=51992
bian ji qi 	編輯器	c=2 d=1.02472 t=2706
bian jie 	邊界	c=1 d=1 t=6259
bian kuang 	邊框	c=1 d=1 t=40367
bian le 	變了	c=2 d=1 t=34580
bian li 	便利	c=1 d=1 t=6207
bian li 	遍歷	c=9 d=4.17416 t=25509
bian liang 	變量	c=2 d=0.1 t=35269
bian liang ming 	變量名	c=1 d=1 t=35270
bian ma 	編碼	c=9 d=1.99005 t=44261
bian qiang 	邊強	c=1 d=1 t=40646
bian shen 	變身	c=3 d=1.99006 t=38614
bian tao ti 	扁桃體	c=1 d=1 t=55175
bian xie 	編寫	c=22 d=1.02305 t=57071
bian xing 	變形	c=1 d=1 t=15586
bian yi 	便宜	c=1 d=1 t=19353
bian yi 	編譯	c=14 d=1 t=40876
bian you 	辯友	c=1 d=1 t=59967
bian yuan 	邊緣	c=11 d=1 t=36909
bian zhe 	變着	c=1 d=1 t=13192
bian zhi 	貶值	c=1 d=1 t=38790
biao 	標	c=5 d=1.04528 t=25151
biao 	表	c=6 d=1.042 t=50076
biao dan 	表單	c=1 d=1 t=43558
biao dian 	標點	c=1 d=1 t=12322
biao dian fu hao 	標點符號	c=1 d=1 t=16946
biao dian fu hao a 	標點符號啊	c=1 d=1 t=12318
biao ge 	表格	c=6 d=1 t=53165
biao le 	標了	c=1 d=1 t=3599
biao mian 	表面	c=1 d=1 t=9131
biao qian 	標籤	c=6 d=1.79852 t=54773
biao qing 	表情	c=5 d=1 t=43438
biao qing bao 	表情包	c=3 d=1.97531 t=55204
biao shi 	表示	c=4 d=1 t=46502
biao ti 	標題	c=0 d=0.1 t=51098
biao ti dang 	標題當	c=1 d=1 t=51099
biao xian 	表現	c=2 d=1 t=61214
biao yang 	表揚	c=1 d=1 t=8447
biao zhu 	標註	c=7 d=1 t=57736
biao zhun 	標準	c=2 d=1 t=58726
bie 	別	c=92 d=1.00522 t=62500
